x,y,z,vx,vy,vz,zv
-0.00130289054609801,0.000555226618516299,0.0139620420399308,-0.00218744718809137,0.000550733757029973,-0.0120061516691943,1
-0.00132546748834314,0.000564787144038921,0.0140767048620566,-0.00229347823329476,0.00084269801506411,-0.0119606399200279,1
-0.00134756314278753,0.000574309262871706,0.0141921469978188,-0.00229681054965264,0.000939965023968428,-0.0119984193442586,1
-0.00137178051030455,0.000584212429854886,0.0143082741080986,-0.00244313209836241,0.000999316996270146,-0.0120582620426937,1
-0.0013947667448326,0.000591187262802567,0.0144242916255138,-0.00240893689374651,0.000819228102557777,-0.0120712367909325,1
-0.00141635041149843,0.000599558477004772,0.0145396181946769,-0.0023012469677451,0.000853162748916387,-0.0120283654022137,1
-0.00143972599880575,0.000611752946826132,0.0146528479281007,-0.00238701882816701,0.00112640349971445,-0.0118701424674602,1
-0.00146249592077683,0.000617216117792368,0.0147686022617273,-0.00237490477894283,0.000759256429423753,-0.0119888149796616,1
-0.0014853930140278,0.000626995182330454,0.0148854493248871,-0.0023794475164177,0.000928970954375592,-0.0121042597222433,1
-0.00150839209412349,0.000637055090242268,0.0150020275951541,-0.00238796928348481,0.00100625291926368,-0.0121253797491404,1
-0.00153267260053557,0.000644976795073813,0.01511921219088,-0.00247856064448942,0.000886372304631994,-0.0121741253953955,1
-0.00155418537042335,0.000652701880526299,0.0152384792764504,-0.0023201441305758,0.000831894831231737,-0.0123333788639252,1
-0.0015756071174842,0.000658759245897023,0.01535600825065,-0.00225970542168459,0.000699131538902303,-0.0122688871381393,1
-0.00159715064976187,0.000665636070505637,0.0154723255983685,-0.00224735351405006,0.000709780059308347,-0.0121638541648617,1
-0.00162093154912077,0.000675579268305013,0.015589473913871,-0.00239621702805197,0.000923248571373502,-0.0121848075337387,1
-0.00164620536569154,0.000690061388577589,0.0157051161278615,-0.00254930046882744,0.00130687489300884,-0.0120888891436689,1
-0.00167230506699973,0.000702243644134144,0.0158183199252295,-0.00265818687303884,0.00128075125779749,-0.0118891127322228,1
